heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3,threshold,FailureIDs,detected_failure_ids,undetected_failure_ids,undetectable_failure_ids
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,3,4,1,3,96,0,100,43,45,771.6141113976988,"[445, 919, 1619, 2607, 3164, 4339, 4382, 4385]","[3164, 4339, 4382]","[445, 919, 1619, 2607]",[4385]
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_change_activation_function_mutated0_MP_relu_4_2,16,13,3,2,1,98,0,100,81,83,771.6141113976988,"[314, 593, 829, 1061, 1283, 1493, 1503, 2589, 2824, 2826, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]","[1061, 1283, 1493, 2589, 2824, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]","[314, 593, 829]","[1503, 2826]"
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_change_activation_function_mutated0_MP_relu_4_2,16,1,15,2,2,88,0,100,6,7,771.6141113976988,"[314, 593, 829, 1061, 1283, 1493, 1503, 2589, 2824, 2826, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]",[5017],"[314, 593, 829, 1061, 1283, 1493, 2589, 2824, 3158, 3386, 3900, 4112, 4251, 4471, 4868]","[1503, 2826]"
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_change_activation_function_mutated0_MP_relu_4_2,14,4,10,4,3,92,0,100,29,31,771.6141113976988,"[314, 593, 829, 1061, 1283, 1493, 1503, 2589, 2824, 2826, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]","[4112, 4471, 4868, 5017]","[314, 593, 829, 1061, 1283, 1493, 2589, 3158, 3386, 3900]","[1503, 2824, 2826, 4251]"
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_change_activation_function_mutated0_MP_selu_4_0,7,0,7,0,1,0,0,0,0,0,771.6141113976988,"[733, 1013, 1449, 1764, 3841, 4350, 4545]",[],"[733, 1013, 1449, 1764, 3841, 4350, 4545]",[]
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_change_activation_function_mutated0_MP_selu_4_0,7,0,7,0,2,0,0,0,0,0,771.6141113976988,"[733, 1013, 1449, 1764, 3841, 4350, 4545]",[],"[733, 1013, 1449, 1764, 3841, 4350, 4545]",[]
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_change_activation_function_mutated0_MP_selu_4_0,7,0,7,0,3,0,0,0,0,0,771.6141113976988,"[733, 1013, 1449, 1764, 3841, 4350, 4545]",[],"[733, 1013, 1449, 1764, 3841, 4350, 4545]",[]
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,10,2,3,1,98,0,100,83,85,771.6141113976988,"[532, 920, 1914, 2307, 2896, 3205, 3207, 4096, 4261, 4301, 4310, 4328, 4364, 4614, 5014]","[1914, 2307, 2896, 3205, 4096, 4261, 4301, 4364, 4614, 5014]","[532, 920]","[3207, 4310, 4328]"
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,5,7,3,2,94,0,100,42,44,771.6141113976988,"[532, 920, 1914, 2307, 2896, 3205, 3207, 4096, 4261, 4301, 4310, 4328, 4364, 4614, 5014]","[4261, 4301, 4364, 4614, 5014]","[532, 920, 1914, 2307, 2896, 3205, 4096]","[3207, 4310, 4328]"
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_change_activation_function_mutated0_MP_sigmoid_4_3,11,4,7,4,3,94,0,100,36,39,771.6141113976988,"[532, 920, 1914, 2307, 2896, 3205, 3207, 4096, 4261, 4301, 4310, 4328, 4364, 4614, 5014]","[4301, 4364, 4614, 5014]","[532, 920, 1914, 2307, 2896, 3205, 4096]","[3207, 4261, 4310, 4328]"
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_change_activation_function_mutated0_MP_softmax_4_4,12,6,6,2,1,95,0,100,50,53,771.6141113976988,"[552, 848, 1141, 1448, 1746, 2029, 2285, 2868, 2882, 3129, 3677, 3935, 3943, 4661]","[2285, 2868, 3129, 3677, 3935, 4661]","[552, 848, 1141, 1448, 1746, 2029]","[2882, 3943]"
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_change_activation_function_mutated0_MP_softmax_4_4,12,0,12,2,2,0,0,0,0,0,771.6141113976988,"[552, 848, 1141, 1448, 1746, 2029, 2285, 2868, 2882, 3129, 3677, 3935, 3943, 4661]",[],"[552, 848, 1141, 1448, 1746, 2029, 2285, 2868, 3129, 3677, 3935, 4661]","[2882, 3943]"
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_change_activation_function_mutated0_MP_softmax_4_4,12,2,10,2,3,92,0,100,17,18,771.6141113976988,"[552, 848, 1141, 1448, 1746, 2029, 2285, 2868, 2882, 3129, 3677, 3935, 3943, 4661]","[3935, 4661]","[552, 848, 1141, 1448, 1746, 2029, 2285, 2868, 3129, 3677]","[2882, 3943]"
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_change_activation_function_mutated0_MP_softsign_4_5,12,9,3,9,1,97,0,100,75,77,771.6141113976988,"[336, 743, 2942, 2945, 3177, 3186, 3210, 3544, 3922, 4632, 4685, 4697, 4723, 4741, 4770, 4909, 5080, 5097, 7331, 7566, 8635]","[3177, 3544, 3922, 4632, 4909, 5080, 7331, 7566, 8635]","[336, 743, 2942]","[2945, 3186, 3210, 4685, 4697, 4723, 4741, 4770, 5097]"
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_change_activation_function_mutated0_MP_softsign_4_5,12,0,12,9,2,0,0,0,0,0,771.6141113976988,"[336, 743, 2942, 2945, 3177, 3186, 3210, 3544, 3922, 4632, 4685, 4697, 4723, 4741, 4770, 4909, 5080, 5097, 7331, 7566, 8635]",[],"[336, 743, 2942, 3210, 3544, 3922, 4632, 4723, 4909, 5080, 7331, 8635]","[2945, 3177, 3186, 4685, 4697, 4741, 4770, 5097, 7566]"
