model,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3,threshold,FailureIDs,detected_failure_ids,undetected_failure_ids,undetectable_failure_ids
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,18,1,3,2,98,1,95,95,95,0.0069072374873710716,"[351, 694, 956, 1185, 1717, 1931, 2216, 2250, 2270, 2646, 3007, 3234, 3696, 4047, 4050, 4275, 4300, 4321, 4900, 5203, 5640, 6104]","[694, 956, 1185, 1717, 1931, 2216, 2270, 2646, 3007, 3234, 3696, 4047, 4275, 4321, 4900, 5203, 5640, 6104]",[351],"[2250, 4050, 4300]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,18,1,3,3,98,1,95,95,95,0.0069072374873710716,"[351, 694, 956, 1185, 1717, 1931, 2216, 2250, 2270, 2646, 3007, 3234, 3696, 4047, 4050, 4275, 4300, 4321, 4900, 5203, 5640, 6104]","[694, 956, 1185, 1717, 1931, 2216, 2270, 2646, 3007, 3234, 3696, 4047, 4275, 4321, 4900, 5203, 5640, 6104]",[351],"[2250, 4050, 4300]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,15,1,3,1,98,1,94,94,94,0.0069072374873710716,"[370, 695, 697, 893, 1180, 1483, 1763, 1995, 2297, 2331, 2354, 2935, 3172, 3470, 3905, 5036, 5042, 5255, 5942]","[695, 893, 1180, 1483, 1763, 1995, 2297, 2354, 2935, 3172, 3470, 3905, 5036, 5255, 5942]",[370],"[697, 2331, 5042]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,12,4,3,2,96,1,92,75,76,0.0069072374873710716,"[370, 695, 697, 893, 1180, 1483, 1763, 1995, 2297, 2331, 2354, 2935, 3172, 3470, 3905, 5036, 5042, 5255, 5942]","[1483, 1763, 1995, 2297, 2354, 2935, 3172, 3470, 3905, 5036, 5255, 5942]","[370, 695, 893, 1180]","[697, 2331, 5042]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,3,99,1,94,100,99,0.0069072374873710716,"[370, 695, 697, 893, 1180, 1483, 1763, 1995, 2297, 2331, 2354, 2935, 3172, 3470, 3905, 5036, 5042, 5255, 5942]","[370, 695, 893, 1180, 1483, 1763, 1995, 2297, 2354, 2935, 3172, 3470, 3905, 5036, 5255, 5942]",[],"[697, 2331, 5042]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_activation_function_mutated0_MP_exponential_4_0,12,11,1,3,1,98,1,92,92,92,0.0069072374873710716,"[407, 771, 780, 1056, 1291, 1655, 1685, 2094, 2430, 3312, 4088, 4295, 4757, 5243, 5257]","[771, 1056, 1291, 1655, 2094, 2430, 3312, 4088, 4295, 4757, 5243]",[407],"[780, 1685, 5257]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_activation_function_mutated0_MP_exponential_4_0,12,10,2,3,2,97,1,91,83,84,0.0069072374873710716,"[407, 771, 780, 1056, 1291, 1655, 1685, 2094, 2430, 3312, 4088, 4295, 4757, 5243, 5257]","[1056, 1291, 1655, 2094, 2430, 3312, 4088, 4295, 4757, 5243]","[407, 771]","[780, 1685, 5257]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_activation_function_mutated0_MP_exponential_4_0,12,3,9,3,3,92,1,75,25,27,0.0069072374873710716,"[407, 771, 780, 1056, 1291, 1655, 1685, 2094, 2430, 3312, 4088, 4295, 4757, 5243, 5257]","[4295, 4757, 5243]","[407, 771, 1056, 1291, 1655, 2094, 2430, 3312, 4088]","[780, 1685, 5257]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,1,99,1,88,100,99,0.0069072374873710716,"[445, 919, 1619, 2607, 3164, 4339, 4382, 4385]","[445, 919, 1619, 2607, 3164, 4339, 4382]",[],[4385]
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,3,4,1,2,96,1,75,43,45,0.0069072374873710716,"[445, 919, 1619, 2607, 3164, 4339, 4382, 4385]","[3164, 4339, 4382]","[445, 919, 1619, 2607]",[4385]
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,3,4,1,3,96,1,75,43,45,0.0069072374873710716,"[445, 919, 1619, 2607, 3164, 4339, 4382, 4385]","[3164, 4339, 4382]","[445, 919, 1619, 2607]",[4385]
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_activation_function_mutated0_MP_relu_4_2,16,15,1,2,1,98,1,94,94,94,0.0069072374873710716,"[314, 593, 829, 1061, 1283, 1493, 1503, 2589, 2824, 2826, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]","[593, 829, 1061, 1283, 1493, 2589, 2824, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]",[314],"[1503, 2826]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_activation_function_mutated0_MP_relu_4_2,16,12,4,2,2,96,1,92,75,76,0.0069072374873710716,"[314, 593, 829, 1061, 1283, 1493, 1503, 2589, 2824, 2826, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]","[1283, 1493, 2589, 2824, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]","[314, 593, 829, 1061]","[1503, 2826]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_activation_function_mutated0_MP_relu_4_2,14,4,10,4,3,91,1,80,29,31,0.0069072374873710716,"[314, 593, 829, 1061, 1283, 1493, 1503, 2589, 2824, 2826, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]","[4112, 4471, 4868, 5017]","[314, 593, 829, 1061, 1283, 1493, 2589, 3158, 3386, 3900]","[1503, 2824, 2826, 4251]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,1,99,1,88,100,99,0.0069072374873710716,"[733, 1013, 1449, 1764, 3841, 4350, 4545]","[733, 1013, 1449, 1764, 3841, 4350, 4545]",[],[]
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,2,99,1,88,100,99,0.0069072374873710716,"[733, 1013, 1449, 1764, 3841, 4350, 4545]","[733, 1013, 1449, 1764, 3841, 4350, 4545]",[],[]
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_activation_function_mutated0_MP_selu_4_0,7,3,4,0,3,96,1,75,43,45,0.0069072374873710716,"[733, 1013, 1449, 1764, 3841, 4350, 4545]","[3841, 4350, 4545]","[733, 1013, 1449, 1764]",[]
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,12,0,3,1,99,1,92,100,99,0.0069072374873710716,"[532, 920, 1914, 2307, 2896, 3205, 3207, 4096, 4261, 4301, 4310, 4328, 4364, 4614, 5014]","[532, 920, 1914, 2307, 2896, 3205, 4096, 4261, 4301, 4364, 4614, 5014]",[],"[3207, 4310, 4328]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,11,1,3,2,98,1,92,92,92,0.0069072374873710716,"[532, 920, 1914, 2307, 2896, 3205, 3207, 4096, 4261, 4301, 4310, 4328, 4364, 4614, 5014]","[920, 1914, 2307, 2896, 3205, 4096, 4261, 4301, 4364, 4614, 5014]",[532],"[3207, 4310, 4328]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_activation_function_mutated0_MP_sigmoid_4_3,11,4,7,4,3,93,1,80,36,38,0.0069072374873710716,"[532, 920, 1914, 2307, 2896, 3205, 3207, 4096, 4261, 4301, 4310, 4328, 4364, 4614, 5014]","[4301, 4364, 4614, 5014]","[532, 920, 1914, 2307, 2896, 3205, 4096]","[3207, 4261, 4310, 4328]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,1,99,1,92,100,99,0.0069072374873710716,"[552, 848, 1141, 1448, 1746, 2029, 2285, 2868, 2882, 3129, 3677, 3935, 3943, 4661]","[552, 848, 1141, 1448, 1746, 2029, 2285, 2868, 3129, 3677, 3935, 4661]",[],"[2882, 3943]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_activation_function_mutated0_MP_softmax_4_4,12,5,7,2,2,93,1,83,42,44,0.0069072374873710716,"[552, 848, 1141, 1448, 1746, 2029, 2285, 2868, 2882, 3129, 3677, 3935, 3943, 4661]","[2868, 3129, 3677, 3935, 4661]","[552, 848, 1141, 1448, 1746, 2029, 2285]","[2882, 3943]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_activation_function_mutated0_MP_softmax_4_4,12,2,10,2,3,91,1,67,17,18,0.0069072374873710716,"[552, 848, 1141, 1448, 1746, 2029, 2285, 2868, 2882, 3129, 3677, 3935, 3943, 4661]","[3935, 4661]","[552, 848, 1141, 1448, 1746, 2029, 2285, 2868, 3129, 3677]","[2882, 3943]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_activation_function_mutated0_MP_softsign_4_5,12,12,0,9,1,99,1,92,100,99,0.0069072374873710716,"[336, 743, 2942, 2945, 3177, 3186, 3210, 3544, 3922, 4632, 4685, 4697, 4723, 4741, 4770, 4909, 5080, 5097, 7331, 7566, 8635]","[336, 743, 2942, 3177, 3544, 3922, 4632, 4909, 5080, 7331, 7566, 8635]",[],"[2945, 3186, 3210, 4685, 4697, 4723, 4741, 4770, 5097]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_activation_function_mutated0_MP_softsign_4_5,12,8,4,9,2,96,1,89,67,68,0.0069072374873710716,"[336, 743, 2942, 2945, 3177, 3186, 3210, 3544, 3922, 4632, 4685, 4697, 4723, 4741, 4770, 4909, 5080, 5097, 7331, 7566, 8635]","[3544, 3922, 4632, 4723, 4909, 5080, 7331, 8635]","[336, 743, 2942, 3210]","[2945, 3177, 3186, 4685, 4697, 4741, 4770, 5097, 7566]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_activation_function_mutated0_MP_softsign_4_5,10,9,1,11,3,98,1,90,90,90,0.0069072374873710716,"[336, 743, 2942, 2945, 3177, 3186, 3210, 3544, 3922, 4632, 4685, 4697, 4723, 4741, 4770, 4909, 5080, 5097, 7331, 7566, 8635]","[743, 2942, 3544, 3922, 4632, 4723, 5080, 7331, 8635]",[336],"[2945, 3177, 3186, 3210, 4685, 4697, 4741, 4770, 4909, 5097, 7566]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_activation_function_mutated0_MP_tanh_4_2,10,10,0,4,1,99,1,91,100,99,0.0069072374873710716,"[500, 511, 514, 974, 982, 1246, 1810, 2069, 2471, 2872, 3171, 3733, 4016, 4030]","[500, 974, 1246, 1810, 2069, 2471, 2872, 3171, 3733, 4016]",[],"[511, 514, 982, 4030]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_activation_function_mutated0_MP_tanh_4_2,10,9,1,4,2,98,1,90,90,90,0.0069072374873710716,"[500, 511, 514, 974, 982, 1246, 1810, 2069, 2471, 2872, 3171, 3733, 4016, 4030]","[974, 1246, 1810, 2069, 2471, 2872, 3171, 3733, 4016]",[500],"[511, 514, 982, 4030]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_activation_function_mutated0_MP_tanh_4_2,10,4,6,4,3,94,1,80,40,42,0.0069072374873710716,"[500, 511, 514, 974, 982, 1246, 1810, 2069, 2471, 2872, 3171, 3733, 4016, 4030]","[2872, 3171, 3733, 4016]","[500, 974, 1246, 1810, 2069, 2471]","[511, 514, 982, 4030]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,9,1,4,1,98,1,90,90,90,0.0069072374873710716,"[384, 395, 570, 1205, 1564, 3179, 3414, 3429, 3431, 3935, 4516, 4523, 5032, 5531]","[570, 1205, 1564, 3179, 3414, 3935, 4516, 5032, 5531]",[384],"[395, 3429, 3431, 4523]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,2,99,1,91,100,99,0.0069072374873710716,"[384, 395, 570, 1205, 1564, 3179, 3414, 3429, 3431, 3935, 4516, 4523, 5032, 5531]","[384, 570, 1205, 1564, 3179, 3414, 3935, 4516, 5032, 5531]",[],"[395, 3429, 3431, 4523]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,5,5,4,3,95,1,83,50,52,0.0069072374873710716,"[384, 395, 570, 1205, 1564, 3179, 3414, 3429, 3431, 3935, 4516, 4523, 5032, 5531]","[3414, 3935, 4516, 5032, 5531]","[384, 570, 1205, 1564, 3179]","[395, 3429, 3431, 4523]"
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,9,0,0,1,99,1,90,100,99,0.0069072374873710716,"[548, 951, 2068, 2629, 3195, 3614, 3885, 4384, 4726]","[548, 951, 2068, 2629, 3195, 3614, 3885, 4384, 4726]",[],[]
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,8,1,0,2,98,1,89,89,89,0.0069072374873710716,"[548, 951, 2068, 2629, 3195, 3614, 3885, 4384, 4726]","[951, 2068, 2629, 3195, 3614, 3885, 4384, 4726]",[548],[]
dave2-p10-track1-mcd_5_S64,max,mutants\udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,0,9,0,3,0,0,0,0,0,0.0069072374873710716,"[548, 951, 2068, 2629, 3195, 3614, 3885, 4384, 4726]",[],"[548, 951, 2068, 2629, 3195, 3614, 3885, 4384, 4726]",[]
