model,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
dave2-p10-track1-mcd_5_S10,max,DAVE2-Track1-Rain,2,2,0,0,1,94,6,4,100,30
dave2-p10-track1-mcd_5_S10,max,DAVE2-Track1-Rain,2,2,0,0,2,94,6,4,100,30
dave2-p10-track1-mcd_5_S10,max,DAVE2-Track1-Rain,2,2,0,0,3,94,6,4,100,30
dave2-p10-track1-mcd_5_S10,mean,DAVE2-Track1-Rain,2,2,0,0,1,93,7,4,100,29
dave2-p10-track1-mcd_5_S10,mean,DAVE2-Track1-Rain,2,2,0,0,2,93,7,4,100,29
dave2-p10-track1-mcd_5_S10,mean,DAVE2-Track1-Rain,2,2,0,0,3,93,7,4,100,29
dave2-p10-track1-mcd_5_S10,max,DAVE2-Track1-Fog,4,4,0,0,1,94,6,8,100,47
dave2-p10-track1-mcd_5_S10,max,DAVE2-Track1-Fog,4,4,0,0,2,94,6,8,100,47
dave2-p10-track1-mcd_5_S10,max,DAVE2-Track1-Fog,4,4,0,0,3,94,6,8,100,47
dave2-p10-track1-mcd_5_S10,mean,DAVE2-Track1-Fog,4,4,0,0,1,94,7,8,100,45
dave2-p10-track1-mcd_5_S10,mean,DAVE2-Track1-Fog,4,2,2,0,2,93,7,4,50,23
dave2-p10-track1-mcd_5_S10,mean,DAVE2-Track1-Fog,4,0,4,0,3,0,0,0,0,0
dave2-p10-track1-mcd_5_S10,max,DAVE2-Track1-Snow,3,3,0,0,1,94,6,6,100,39
dave2-p10-track1-mcd_5_S10,max,DAVE2-Track1-Snow,3,3,0,0,2,94,6,6,100,39
dave2-p10-track1-mcd_5_S10,max,DAVE2-Track1-Snow,3,3,0,0,3,94,6,6,100,39
dave2-p10-track1-mcd_5_S10,mean,DAVE2-Track1-Snow,3,3,0,0,1,93,7,6,100,38
dave2-p10-track1-mcd_5_S10,mean,DAVE2-Track1-Snow,3,3,0,0,2,93,7,6,100,38
dave2-p10-track1-mcd_5_S10,mean,DAVE2-Track1-Snow,3,2,1,0,3,93,7,4,67,26
dave2-p10-track1-mcd_5_S10,max,DAVE2-Track1-DayNight,2,2,0,0,1,94,6,4,100,30
dave2-p10-track1-mcd_5_S10,max,DAVE2-Track1-DayNight,2,2,0,0,2,94,6,4,100,30
dave2-p10-track1-mcd_5_S10,max,DAVE2-Track1-DayNight,2,2,0,0,3,94,6,4,100,30
dave2-p10-track1-mcd_5_S10,mean,DAVE2-Track1-DayNight,2,2,0,0,1,93,7,4,100,29
dave2-p10-track1-mcd_5_S10,mean,DAVE2-Track1-DayNight,2,2,0,0,2,93,7,4,100,29
dave2-p10-track1-mcd_5_S10,mean,DAVE2-Track1-DayNight,2,2,0,0,3,93,7,4,100,29
dave2-p10-track1-mcd_5_S10,max,DAVE2-Track1-DayNightRain,2,2,0,0,1,94,6,4,100,30
dave2-p10-track1-mcd_5_S10,max,DAVE2-Track1-DayNightRain,2,2,0,0,2,94,6,4,100,30
dave2-p10-track1-mcd_5_S10,max,DAVE2-Track1-DayNightRain,2,2,0,0,3,94,6,4,100,30
dave2-p10-track1-mcd_5_S10,mean,DAVE2-Track1-DayNightRain,2,1,1,0,1,93,7,2,50,15
dave2-p10-track1-mcd_5_S10,mean,DAVE2-Track1-DayNightRain,2,1,1,0,2,93,7,2,50,15
dave2-p10-track1-mcd_5_S10,mean,DAVE2-Track1-DayNightRain,2,2,0,0,3,93,7,4,100,29
dave2-p10-track1-mcd_5_S10,max,DAVE2-Track1-DayNightFog,5,5,0,0,1,94,6,10,100,52
dave2-p10-track1-mcd_5_S10,max,DAVE2-Track1-DayNightFog,5,5,0,0,2,94,6,10,100,52
dave2-p10-track1-mcd_5_S10,max,DAVE2-Track1-DayNightFog,5,5,0,0,3,94,6,10,100,52
dave2-p10-track1-mcd_5_S10,mean,DAVE2-Track1-DayNightFog,5,4,1,0,1,93,7,8,80,41
dave2-p10-track1-mcd_5_S10,mean,DAVE2-Track1-DayNightFog,5,5,0,0,2,94,7,9,100,51
dave2-p10-track1-mcd_5_S10,mean,DAVE2-Track1-DayNightFog,5,5,0,0,3,94,7,9,100,51
dave2-p10-track1-mcd_5_S10,max,DAVE2-Track1-DayNightSnow,4,4,0,1,1,94,6,8,100,47
dave2-p10-track1-mcd_5_S10,max,DAVE2-Track1-DayNightSnow,3,3,0,2,2,94,6,6,100,39
dave2-p10-track1-mcd_5_S10,max,DAVE2-Track1-DayNightSnow,4,3,1,1,3,94,6,6,75,35
dave2-p10-track1-mcd_5_S10,mean,DAVE2-Track1-DayNightSnow,4,4,0,1,1,94,7,8,100,45
dave2-p10-track1-mcd_5_S10,mean,DAVE2-Track1-DayNightSnow,3,2,1,2,2,93,7,4,67,26
dave2-p10-track1-mcd_5_S10,mean,DAVE2-Track1-DayNightSnow,4,3,1,1,3,93,7,6,75,34
