model,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-Rain,2,1,1,0,1,99,1,12,50,38
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-Rain,2,2,0,0,2,99,1,22,100,74
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-Rain,2,2,0,0,3,99,1,22,100,74
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-Rain,2,0,2,0,1,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-Rain,2,0,2,0,2,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-Rain,2,1,1,0,3,99,1,17,50,42
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-Fog,4,4,0,0,1,99,1,36,100,85
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-Fog,4,4,0,0,2,99,1,36,100,85
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-Fog,4,4,0,0,3,99,1,36,100,85
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-Fog,4,1,3,0,1,99,1,17,25,24
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-Fog,4,1,3,0,2,99,1,17,25,24
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-Fog,4,0,4,0,3,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-Snow,3,3,0,0,1,99,1,30,100,81
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-Snow,3,3,0,0,2,99,1,30,100,81
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-Snow,3,3,0,0,3,99,1,30,100,81
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-Snow,3,0,3,0,1,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-Snow,3,0,3,0,2,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-Snow,3,2,1,0,3,99,1,29,67,59
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-DayNight,2,2,0,0,1,99,1,22,100,74
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-DayNight,2,2,0,0,2,99,1,22,100,74
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-DayNight,2,2,0,0,3,99,1,22,100,74
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-DayNight,2,0,2,0,1,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-DayNight,2,0,2,0,2,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-DayNight,2,0,2,0,3,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-DayNightRain,2,0,2,0,1,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-DayNightRain,2,2,0,0,2,99,1,22,100,74
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-DayNightRain,2,2,0,0,3,99,1,22,100,74
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-DayNightRain,2,0,2,0,1,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-DayNightRain,2,0,2,0,2,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-DayNightRain,2,1,1,0,3,99,1,17,50,42
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-DayNightFog,5,4,1,0,1,99,1,36,80,71
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-DayNightFog,5,5,0,0,2,99,1,42,100,88
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-DayNightFog,5,5,0,0,3,99,1,42,100,88
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-DayNightFog,5,0,5,0,1,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-DayNightFog,5,0,5,0,2,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-DayNightFog,5,0,5,0,3,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-DayNightSnow,4,4,0,1,1,99,1,36,100,85
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-DayNightSnow,3,2,1,2,2,99,1,22,67,56
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-DayNightSnow,4,3,1,1,3,99,1,30,75,65
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-DayNightSnow,4,4,0,1,1,99,1,44,100,89
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-DayNightSnow,3,0,3,2,2,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-DayNightSnow,4,1,3,1,3,99,1,17,25,24
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-10,3,3,0,0,1,99,1,30,100,81
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-10,2,2,0,1,2,99,1,22,100,74
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-10,2,2,0,1,3,99,1,22,100,74
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-10,3,3,0,0,1,99,1,38,100,86
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-10,2,2,0,1,2,99,1,29,100,80
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-10,2,0,2,1,3,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-20,5,5,0,0,1,99,1,42,100,88
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-20,4,4,0,1,2,99,1,36,100,85
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-20,4,4,0,1,3,99,1,36,100,85
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-20,5,4,1,0,1,99,1,44,80,74
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-20,4,3,1,1,2,99,1,38,75,68
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-20,4,1,3,1,3,99,1,17,25,24
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-40,3,3,0,0,1,99,1,30,100,81
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-40,3,2,1,0,2,99,1,22,67,56
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-40,3,1,2,0,3,99,1,12,33,29
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-40,3,0,3,0,1,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-40,3,0,3,0,2,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-40,3,0,3,0,3,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-50,4,4,0,0,1,99,1,36,100,85
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-50,3,2,1,1,2,99,1,22,67,56
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-50,3,3,0,1,3,99,1,30,100,81
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-50,4,4,0,0,1,99,1,44,100,89
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-50,3,0,3,1,2,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-50,3,0,3,1,3,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-60,1,1,0,0,1,99,1,12,100,59
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-60,1,1,0,0,2,99,1,12,100,59
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-60,1,1,0,0,3,99,1,12,100,59
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-60,1,1,0,0,1,99,1,17,100,67
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-60,1,1,0,0,2,99,1,17,100,67
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-60,1,1,0,0,3,99,1,17,100,67
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-70,2,1,1,0,1,99,1,12,50,38
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-70,2,1,1,0,2,99,1,12,50,38
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-70,2,1,1,0,3,99,1,12,50,38
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-70,2,0,2,0,1,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-70,2,0,2,0,2,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-70,2,0,2,0,3,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-80,1,1,0,0,1,99,1,12,100,59
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-80,1,1,0,0,2,99,1,12,100,59
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-80,1,1,0,0,3,99,1,12,100,59
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-80,1,1,0,0,1,99,1,17,100,67
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-80,1,1,0,0,2,99,1,17,100,67
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-80,1,0,1,0,3,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-90,1,1,0,0,1,99,1,12,100,59
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-90,1,1,0,0,2,99,1,12,100,59
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-90,1,0,1,0,3,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-90,1,1,0,0,1,99,1,17,100,67
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-90,1,1,0,0,2,99,1,17,100,67
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-90,1,0,1,0,3,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-100,4,4,0,0,1,99,1,36,100,85
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-100,4,4,0,0,2,99,1,36,100,85
dave2-p10-track1-mcd_30_S5,max,xai-track1-fog-100,4,2,2,0,3,99,1,22,50,44
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-100,4,0,4,0,1,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-100,4,0,4,0,2,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,mean,xai-track1-fog-100,4,0,4,0,3,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-10,1,1,0,0,1,99,1,12,100,59
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-10,1,1,0,0,2,99,1,12,100,59
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-10,1,1,0,0,3,99,1,12,100,59
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-10,1,1,0,0,1,99,1,17,100,67
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-10,1,1,0,0,2,99,1,17,100,67
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-10,1,1,0,0,3,99,1,17,100,67
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-20,3,3,0,0,1,99,1,30,100,81
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-20,3,3,0,0,2,99,1,30,100,81
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-20,3,3,0,0,3,99,1,30,100,81
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-20,3,3,0,0,1,99,1,38,100,86
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-20,3,3,0,0,2,99,1,38,100,86
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-20,3,3,0,0,3,99,1,38,100,86
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-30,2,2,0,0,1,99,1,22,100,74
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-30,2,2,0,0,2,99,1,22,100,74
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-30,2,2,0,0,3,99,1,22,100,74
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-30,2,1,1,0,1,99,1,17,50,42
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-30,2,1,1,0,2,99,1,17,50,42
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-30,2,2,0,0,3,99,1,29,100,80
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-40,3,3,0,0,1,99,1,30,100,81
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-40,3,3,0,0,2,99,1,30,100,81
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-40,2,2,0,1,3,99,1,22,100,74
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-40,3,3,0,0,1,99,1,38,100,86
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-40,3,1,2,0,2,99,1,17,33,30
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-40,2,0,2,1,3,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-50,2,2,0,0,1,99,1,22,100,74
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-50,2,2,0,0,2,99,1,22,100,74
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-50,2,2,0,0,3,99,1,22,100,74
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-50,2,2,0,0,1,99,1,29,100,80
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-50,2,2,0,0,2,99,1,29,100,80
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-50,2,2,0,0,3,99,1,29,100,80
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-60,2,2,0,0,1,99,1,22,100,74
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-60,2,2,0,0,2,99,1,22,100,74
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-60,2,2,0,0,3,99,1,22,100,74
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-60,2,2,0,0,1,99,1,29,100,80
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-60,2,2,0,0,2,99,1,29,100,80
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-60,2,2,0,0,3,99,1,29,100,80
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-70,2,1,1,0,1,99,1,12,50,38
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-70,2,2,0,0,2,99,1,22,100,74
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-70,2,2,0,0,3,99,1,22,100,74
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-70,2,1,1,0,1,99,1,17,50,42
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-70,2,1,1,0,2,99,1,17,50,42
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-70,2,2,0,0,3,99,1,29,100,80
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-80,3,3,0,0,1,99,1,30,100,81
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-80,3,3,0,0,2,99,1,30,100,81
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-80,3,3,0,0,3,99,1,30,100,81
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-80,3,1,2,0,1,99,1,17,33,30
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-80,3,3,0,0,2,99,1,38,100,86
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-80,3,3,0,0,3,99,1,38,100,86
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-90,2,2,0,1,1,99,1,22,100,74
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-90,3,3,0,0,2,99,1,30,100,81
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-90,3,3,0,0,3,99,1,30,100,81
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-90,2,2,0,1,1,99,1,29,100,80
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-90,3,2,1,0,2,99,1,29,67,59
dave2-p10-track1-mcd_30_S5,mean,xai-track1-rain-90,3,3,0,0,3,99,1,38,100,86
dave2-p10-track1-mcd_30_S5,max,xai-track1-rain-100,2,2,0,0,1,99,1,22,100,74
