model,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
dave2-p10-track1-mcd_10_S128,max,DAVE2-Track1-Rain,2,2,0,0,1,99,1,29,100,80
dave2-p10-track1-mcd_10_S128,max,DAVE2-Track1-Rain,2,0,2,0,2,0,0,0,0,0
dave2-p10-track1-mcd_10_S128,max,DAVE2-Track1-Rain,2,0,2,0,3,0,0,0,0,0
dave2-p10-track1-mcd_10_S128,mean,DAVE2-Track1-Rain,2,0,2,0,1,0,0,0,0,0
dave2-p10-track1-mcd_10_S128,mean,DAVE2-Track1-Rain,2,0,2,0,2,0,0,0,0,0
dave2-p10-track1-mcd_10_S128,mean,DAVE2-Track1-Rain,2,0,2,0,3,0,0,0,0,0
dave2-p10-track1-mcd_10_S128,max,DAVE2-Track1-Fog,4,4,0,0,1,99,1,44,100,89
dave2-p10-track1-mcd_10_S128,max,DAVE2-Track1-Fog,4,2,2,0,2,99,1,29,50,47
dave2-p10-track1-mcd_10_S128,max,DAVE2-Track1-Fog,4,2,2,0,3,99,1,29,50,47
dave2-p10-track1-mcd_10_S128,mean,DAVE2-Track1-Fog,4,1,3,0,1,99,1,17,25,24
dave2-p10-track1-mcd_10_S128,mean,DAVE2-Track1-Fog,4,0,4,0,2,0,0,0,0,0
dave2-p10-track1-mcd_10_S128,mean,DAVE2-Track1-Fog,4,0,4,0,3,0,0,0,0,0
dave2-p10-track1-mcd_10_S128,max,DAVE2-Track1-Snow,3,3,0,0,1,99,1,38,100,86
dave2-p10-track1-mcd_10_S128,max,DAVE2-Track1-Snow,3,3,0,0,2,99,1,38,100,86
dave2-p10-track1-mcd_10_S128,max,DAVE2-Track1-Snow,3,2,1,0,3,99,1,29,67,59
dave2-p10-track1-mcd_10_S128,mean,DAVE2-Track1-Snow,3,1,2,0,1,99,1,17,33,30
dave2-p10-track1-mcd_10_S128,mean,DAVE2-Track1-Snow,3,1,2,0,2,99,1,17,33,30
dave2-p10-track1-mcd_10_S128,mean,DAVE2-Track1-Snow,3,1,2,0,3,99,1,17,33,30
dave2-p10-track1-mcd_10_S128,max,DAVE2-Track1-DayNight,2,2,0,0,1,99,1,29,100,80
dave2-p10-track1-mcd_10_S128,max,DAVE2-Track1-DayNight,2,2,0,0,2,99,1,29,100,80
dave2-p10-track1-mcd_10_S128,max,DAVE2-Track1-DayNight,2,1,1,0,3,99,1,17,50,42
dave2-p10-track1-mcd_10_S128,mean,DAVE2-Track1-DayNight,2,1,1,0,1,99,1,17,50,42
dave2-p10-track1-mcd_10_S128,mean,DAVE2-Track1-DayNight,2,2,0,0,2,99,1,29,100,80
dave2-p10-track1-mcd_10_S128,mean,DAVE2-Track1-DayNight,2,0,2,0,3,0,0,0,0,0
dave2-p10-track1-mcd_10_S128,max,DAVE2-Track1-DayNightRain,2,0,2,0,1,0,0,0,0,0
dave2-p10-track1-mcd_10_S128,max,DAVE2-Track1-DayNightRain,2,1,1,0,2,99,1,17,50,42
dave2-p10-track1-mcd_10_S128,max,DAVE2-Track1-DayNightRain,2,2,0,0,3,99,1,29,100,80
dave2-p10-track1-mcd_10_S128,mean,DAVE2-Track1-DayNightRain,2,0,2,0,1,0,0,0,0,0
dave2-p10-track1-mcd_10_S128,mean,DAVE2-Track1-DayNightRain,2,0,2,0,2,0,0,0,0,0
dave2-p10-track1-mcd_10_S128,mean,DAVE2-Track1-DayNightRain,2,2,0,0,3,99,1,29,100,80
dave2-p10-track1-mcd_10_S128,max,DAVE2-Track1-DayNightFog,5,4,1,0,1,99,1,44,80,74
dave2-p10-track1-mcd_10_S128,max,DAVE2-Track1-DayNightFog,5,5,0,0,2,99,1,50,100,91
dave2-p10-track1-mcd_10_S128,max,DAVE2-Track1-DayNightFog,5,5,0,0,3,99,1,50,100,91
dave2-p10-track1-mcd_10_S128,mean,DAVE2-Track1-DayNightFog,5,0,5,0,1,0,0,0,0,0
dave2-p10-track1-mcd_10_S128,mean,DAVE2-Track1-DayNightFog,5,5,0,0,2,99,1,50,100,91
dave2-p10-track1-mcd_10_S128,mean,DAVE2-Track1-DayNightFog,5,5,0,0,3,99,1,50,100,91
dave2-p10-track1-mcd_10_S128,max,DAVE2-Track1-DayNightSnow,4,4,0,1,1,99,1,44,100,89
dave2-p10-track1-mcd_10_S128,max,DAVE2-Track1-DayNightSnow,3,2,1,2,2,99,1,29,67,59
dave2-p10-track1-mcd_10_S128,max,DAVE2-Track1-DayNightSnow,4,4,0,1,3,99,1,44,100,89
dave2-p10-track1-mcd_10_S128,mean,DAVE2-Track1-DayNightSnow,4,3,1,1,1,99,1,38,75,68
dave2-p10-track1-mcd_10_S128,mean,DAVE2-Track1-DayNightSnow,3,2,1,2,2,99,1,29,67,59
dave2-p10-track1-mcd_10_S128,mean,DAVE2-Track1-DayNightSnow,4,3,1,1,3,99,1,38,75,68
dave2-p10-track1-mcd_10_S128,max,xai-track1-fog-10,3,3,0,0,1,99,1,38,100,86
dave2-p10-track1-mcd_10_S128,max,xai-track1-fog-10,2,2,0,1,2,99,1,29,100,80
dave2-p10-track1-mcd_10_S128,max,xai-track1-fog-10,2,1,1,1,3,99,1,17,50,42
dave2-p10-track1-mcd_10_S128,mean,xai-track1-fog-10,3,3,0,0,1,99,1,38,100,86
dave2-p10-track1-mcd_10_S128,mean,xai-track1-fog-10,2,2,0,1,2,99,1,29,100,80
dave2-p10-track1-mcd_10_S128,mean,xai-track1-fog-10,2,1,1,1,3,99,1,17,50,42
dave2-p10-track1-mcd_10_S128,max,xai-track1-fog-20,5,5,0,0,1,99,1,50,100,91
dave2-p10-track1-mcd_10_S128,max,xai-track1-fog-20,4,4,0,1,2,99,1,44,100,89
dave2-p10-track1-mcd_10_S128,max,xai-track1-fog-20,4,4,0,1,3,99,1,44,100,89
dave2-p10-track1-mcd_10_S128,mean,xai-track1-fog-20,5,5,0,0,1,99,1,50,100,91
dave2-p10-track1-mcd_10_S128,mean,xai-track1-fog-20,4,4,0,1,2,99,1,44,100,89
dave2-p10-track1-mcd_10_S128,mean,xai-track1-fog-20,4,4,0,1,3,99,1,44,100,89
dave2-p10-track1-mcd_10_S128,max,xai-track1-fog-40,3,3,0,0,1,99,1,38,100,86
dave2-p10-track1-mcd_10_S128,max,xai-track1-fog-40,3,3,0,0,2,99,1,38,100,86
dave2-p10-track1-mcd_10_S128,max,xai-track1-fog-40,3,3,0,0,3,99,1,38,100,86
dave2-p10-track1-mcd_10_S128,mean,xai-track1-fog-40,3,3,0,0,1,99,1,38,100,86
dave2-p10-track1-mcd_10_S128,mean,xai-track1-fog-40,3,3,0,0,2,99,1,38,100,86
dave2-p10-track1-mcd_10_S128,mean,xai-track1-fog-40,3,3,0,0,3,99,1,38,100,86
dave2-p10-track1-mcd_10_S128,max,xai-track1-fog-50,4,4,0,0,1,99,1,44,100,89
dave2-p10-track1-mcd_10_S128,max,xai-track1-fog-50,3,3,0,1,2,99,1,38,100,86
dave2-p10-track1-mcd_10_S128,max,xai-track1-fog-50,3,3,0,1,3,99,1,38,100,86
dave2-p10-track1-mcd_10_S128,mean,xai-track1-fog-50,4,4,0,0,1,99,1,44,100,89
dave2-p10-track1-mcd_10_S128,mean,xai-track1-fog-50,3,3,0,1,2,99,1,38,100,86
dave2-p10-track1-mcd_10_S128,mean,xai-track1-fog-50,3,3,0,1,3,99,1,38,100,86
dave2-p10-track1-mcd_10_S128,max,xai-track1-fog-60,1,1,0,0,1,99,1,17,100,67
dave2-p10-track1-mcd_10_S128,max,xai-track1-fog-60,1,1,0,0,2,99,1,17,100,67
dave2-p10-track1-mcd_10_S128,max,xai-track1-fog-60,1,1,0,0,3,99,1,17,100,67
dave2-p10-track1-mcd_10_S128,mean,xai-track1-fog-60,1,1,0,0,1,99,1,17,100,67
dave2-p10-track1-mcd_10_S128,mean,xai-track1-fog-60,1,1,0,0,2,99,1,17,100,67
dave2-p10-track1-mcd_10_S128,mean,xai-track1-fog-60,1,1,0,0,3,99,1,17,100,67
dave2-p10-track1-mcd_10_S128,max,xai-track1-fog-70,2,2,0,0,1,99,1,29,100,80
dave2-p10-track1-mcd_10_S128,max,xai-track1-fog-70,2,2,0,0,2,99,1,29,100,80
dave2-p10-track1-mcd_10_S128,max,xai-track1-fog-70,2,2,0,0,3,99,1,29,100,80
dave2-p10-track1-mcd_10_S128,mean,xai-track1-fog-70,2,2,0,0,1,99,1,29,100,80
dave2-p10-track1-mcd_10_S128,mean,xai-track1-fog-70,2,2,0,0,2,99,1,29,100,80
dave2-p10-track1-mcd_10_S128,mean,xai-track1-fog-70,2,2,0,0,3,99,1,29,100,80
dave2-p10-track1-mcd_10_S128,max,xai-track1-fog-80,1,1,0,0,1,99,1,17,100,67
dave2-p10-track1-mcd_10_S128,max,xai-track1-fog-80,1,1,0,0,2,99,1,17,100,67
dave2-p10-track1-mcd_10_S128,max,xai-track1-fog-80,1,1,0,0,3,99,1,17,100,67
dave2-p10-track1-mcd_10_S128,mean,xai-track1-fog-80,1,1,0,0,1,99,1,17,100,67
