model,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
dave2-p10-track1-mcd_20_S2,max,DAVE2-Track1-Rain,2,2,0,0,1,98,2,11,100,54
dave2-p10-track1-mcd_20_S2,max,DAVE2-Track1-Rain,2,2,0,0,2,98,2,11,100,54
dave2-p10-track1-mcd_20_S2,max,DAVE2-Track1-Rain,2,2,0,0,3,98,2,11,100,54
dave2-p10-track1-mcd_20_S2,mean,DAVE2-Track1-Rain,2,0,2,0,1,0,0,0,0,0
dave2-p10-track1-mcd_20_S2,mean,DAVE2-Track1-Rain,2,0,2,0,2,0,0,0,0,0
dave2-p10-track1-mcd_20_S2,mean,DAVE2-Track1-Rain,2,0,2,0,3,0,0,0,0,0
dave2-p10-track1-mcd_20_S2,max,DAVE2-Track1-Fog,4,4,0,0,1,98,2,19,100,70
dave2-p10-track1-mcd_20_S2,max,DAVE2-Track1-Fog,4,4,0,0,2,98,2,19,100,70
dave2-p10-track1-mcd_20_S2,max,DAVE2-Track1-Fog,4,4,0,0,3,98,2,19,100,70
dave2-p10-track1-mcd_20_S2,mean,DAVE2-Track1-Fog,4,4,0,0,1,98,2,21,100,73
dave2-p10-track1-mcd_20_S2,mean,DAVE2-Track1-Fog,4,0,4,0,2,0,0,0,0,0
dave2-p10-track1-mcd_20_S2,mean,DAVE2-Track1-Fog,4,0,4,0,3,0,0,0,0,0
dave2-p10-track1-mcd_20_S2,max,DAVE2-Track1-Snow,3,3,0,0,1,98,2,15,100,64
dave2-p10-track1-mcd_20_S2,max,DAVE2-Track1-Snow,3,3,0,0,2,98,2,15,100,64
dave2-p10-track1-mcd_20_S2,max,DAVE2-Track1-Snow,3,3,0,0,3,98,2,15,100,64
dave2-p10-track1-mcd_20_S2,mean,DAVE2-Track1-Snow,3,0,3,0,1,0,0,0,0,0
dave2-p10-track1-mcd_20_S2,mean,DAVE2-Track1-Snow,3,3,0,0,2,98,2,17,100,67
dave2-p10-track1-mcd_20_S2,mean,DAVE2-Track1-Snow,3,0,3,0,3,0,0,0,0,0
dave2-p10-track1-mcd_20_S2,max,DAVE2-Track1-DayNight,2,2,0,0,1,98,2,11,100,54
dave2-p10-track1-mcd_20_S2,max,DAVE2-Track1-DayNight,2,2,0,0,2,98,2,11,100,54
dave2-p10-track1-mcd_20_S2,max,DAVE2-Track1-DayNight,2,2,0,0,3,98,2,11,100,54
dave2-p10-track1-mcd_20_S2,mean,DAVE2-Track1-DayNight,2,0,2,0,1,0,0,0,0,0
dave2-p10-track1-mcd_20_S2,mean,DAVE2-Track1-DayNight,2,2,0,0,2,98,2,12,100,57
dave2-p10-track1-mcd_20_S2,mean,DAVE2-Track1-DayNight,2,0,2,0,3,0,0,0,0,0
dave2-p10-track1-mcd_20_S2,max,DAVE2-Track1-DayNightRain,2,2,0,0,1,98,2,11,100,54
dave2-p10-track1-mcd_20_S2,max,DAVE2-Track1-DayNightRain,2,2,0,0,2,98,2,11,100,54
dave2-p10-track1-mcd_20_S2,max,DAVE2-Track1-DayNightRain,2,2,0,0,3,98,2,11,100,54
dave2-p10-track1-mcd_20_S2,mean,DAVE2-Track1-DayNightRain,2,0,2,0,1,0,0,0,0,0
dave2-p10-track1-mcd_20_S2,mean,DAVE2-Track1-DayNightRain,2,2,0,0,2,98,2,12,100,57
dave2-p10-track1-mcd_20_S2,mean,DAVE2-Track1-DayNightRain,2,2,0,0,3,98,2,12,100,57
dave2-p10-track1-mcd_20_S2,max,DAVE2-Track1-DayNightFog,5,4,1,0,1,98,2,19,80,61
dave2-p10-track1-mcd_20_S2,max,DAVE2-Track1-DayNightFog,5,5,0,0,2,98,2,23,100,75
dave2-p10-track1-mcd_20_S2,max,DAVE2-Track1-DayNightFog,5,5,0,0,3,98,2,23,100,75
dave2-p10-track1-mcd_20_S2,mean,DAVE2-Track1-DayNightFog,5,0,5,0,1,0,0,0,0,0
dave2-p10-track1-mcd_20_S2,mean,DAVE2-Track1-DayNightFog,5,4,1,0,2,98,2,21,80,62
