Model,Condition,Seconds,AUC-ROC,AUC-PRC,FPR,TPR,ROC Thresholds,PRC Thresholds,Precision,Recall
dave2-p10-track1-mcd_15_S64.csv,DAVE2-Track1-DayNight,1,0.6978941663763403,0.01022453768889208,0.3028684241086982,0.4959349593495935,0.013997343383261905,0.005555056221310272,0.009374664315007756,0.5654724561113863
dave2-p10-track1-mcd_15_S64.csv,DAVE2-Track1-DayNight,2,0.6862023934822438,0.01962334553408229,0.3153033558432814,0.5011854951185495,0.009838854227332928,0.005555056221310272,0.01802573626387461,0.5470062187001266
dave2-p10-track1-mcd_15_S64.csv,DAVE2-Track1-DayNight,3,0.6403472958295711,0.025575232490838283,0.357697464262683,0.4949379178605539,0.008006957860381334,0.005555056221310272,0.02268220940315477,0.4808797901418009
dave2-p10-track1-mcd_15_S64.csv,DAVE2-Track1-DayNightFog,1,0.4321918035506885,0.019229916230689283,0.5701205970612199,0.5046048109965636,0.007876786198130972,0.005881313792869427,0.015778716692409003,0.41841037578982376
dave2-p10-track1-mcd_15_S64.csv,DAVE2-Track1-DayNightFog,2,0.48299529238273503,0.042162000733737416,0.5167473019917151,0.4996224188790561,0.006676893247563425,0.005881313792869427,0.03780825288613928,0.4697478106640062
dave2-p10-track1-mcd_15_S64.csv,DAVE2-Track1-DayNightFog,3,0.4703595056554721,0.06190378849320724,0.5313602868442383,0.5026736530968695,0.006064202936457418,0.005823489308824429,0.05648516388963783,0.46516476101902
dave2-p10-track1-mcd_15_S64.csv,DAVE2-Track1-DayNightRain,1,0.4169638381668457,0.009847196875849177,0.5748141783029,0.4909333333333334,0.012350799853913486,0.005374425373966952,0.006818122893990572,0.3358226418139273
dave2-p10-track1-mcd_15_S64.csv,DAVE2-Track1-DayNightRain,2,0.3810736307580704,0.0185786629961128,0.6140338877662055,0.4951020408163265,0.008186695920968694,0.005111434155478219,0.013249340171950348,0.35930788467196234
dave2-p10-track1-mcd_15_S64.csv,DAVE2-Track1-DayNightRain,3,0.4342998897464168,0.030189388358048862,0.5643639650975638,0.4997229916897506,0.007172512987285461,0.005111434155478219,0.025020878315738418,0.4141168971266058
dave2-p10-track1-mcd_15_S64.csv,DAVE2-Track1-DayNightSnow,1,0.5719370054709554,0.047359465181787914,0.4301032342289323,0.5012194162536386,0.009995649452843274,0.004796781894536339,0.040079592875115866,0.5575669106303591
dave2-p10-track1-mcd_15_S64.csv,DAVE2-Track1-DayNightSnow,2,0.534171798652673,0.0539856219994326,0.4656129137003454,0.4994301994301994,0.00792983598659542,0.004718421477945017,0.052516537205052186,0.5310030479357162
dave2-p10-track1-mcd_15_S64.csv,DAVE2-Track1-DayNightSnow,3,0.5471223096457267,0.08223559272698917,0.4470455879691548,0.493970893970894,0.007281592522850435,0.004707995809691555,0.07758041773842758,0.5438977779077817
dave2-p10-track1-mcd_15_S64.csv,DAVE2-Track1-Fog,1,0.5481120731120731,0.03243459311514525,0.4485321298087256,0.4974468085106382,0.009655806848759505,0.0045350482467082075,0.02529174572783239,0.5469651811902734
dave2-p10-track1-mcd_15_S64.csv,DAVE2-Track1-Fog,2,0.5457654185022026,0.0833150873385608,0.4541657005951,0.5019279970760234,0.007483932113820245,0.004533664928524566,0.05152873769118365,0.5440718541637111
