Model,Condition,Seconds,AUC-ROC,AUC-PRC,FPR,TPR,ROC Thresholds,PRC Thresholds,Precision,Recall
dave2-p10-track1-mcd_30_S2.csv,DAVE2-Track1-DayNight,1,0.5113498238686951,0.006775533301508282,0.4848629046039618,0.4959349593495935,0.010172885855077436,0.0018062290206274734,0.006522830241418831,0.5062021826090334
dave2-p10-track1-mcd_30_S2.csv,DAVE2-Track1-DayNight,2,0.5300666588703076,0.014519952480757397,0.4673216595191817,0.4970464135021097,0.006289947076800832,0.0017999375030443008,0.014362655022100802,0.5264251712527575
dave2-p10-track1-mcd_30_S2.csv,DAVE2-Track1-DayNight,3,0.5335721482877294,0.021789400161731955,0.4639430979943967,0.4972143974960877,0.00476000261962831,0.0017938969007848852,0.02149665249458032,0.5312498392861734
dave2-p10-track1-mcd_30_S2.csv,DAVE2-Track1-DayNightFog,1,0.489311431889829,0.023837672108595186,0.5078661176222151,0.4973737373737374,0.0057874749174214295,0.001977283368975445,0.02389599808090476,0.4869150667100553
dave2-p10-track1-mcd_30_S2.csv,DAVE2-Track1-DayNightFog,2,0.4971816686518064,0.0479738640179053,0.5002076241711564,0.4973862982153138,0.0038831592101024296,0.001968314769008632,0.04791856223275464,0.4969933052586114
dave2-p10-track1-mcd_30_S2.csv,DAVE2-Track1-DayNightFog,3,0.497148400364744,0.07026764568107874,0.4964512539481311,0.4935857988165681,0.00315340135676427,0.001968314769008632,0.06992519783564954,0.4970309181873808
dave2-p10-track1-mcd_30_S2.csv,DAVE2-Track1-DayNightRain,1,0.4554672395273899,0.012077502728102969,0.5373213252912501,0.4934472934472934,0.011164175031581413,0.0019203644948050528,0.011577089660935838,0.4558124734832414
dave2-p10-track1-mcd_30_S2.csv,DAVE2-Track1-DayNightRain,2,0.4866249546608633,0.02838962437023325,0.5123280056903561,0.49913419913419893,0.006845414273559647,0.0019203644948050528,0.026661785012997992,0.4867504596238156
dave2-p10-track1-mcd_30_S2.csv,DAVE2-Track1-DayNightRain,3,0.492414553472988,0.04011606263196448,0.5009922822491731,0.4935212180110139,0.0052279582170953005,0.0019203644948050528,0.03918165475028963,0.4924904539669071
dave2-p10-track1-mcd_30_S2.csv,DAVE2-Track1-DayNightSnow,1,0.5575325497165785,0.05274069185979631,0.4520337682271681,0.508216241962372,0.007997097109186882,0.001952998691512516,0.03885300558393856,0.5550036695323967
dave2-p10-track1-mcd_30_S2.csv,DAVE2-Track1-DayNightSnow,2,0.5428802729349178,0.06067978390103696,0.4669358319886446,0.5090702947845804,0.005692303037418071,0.001960322276029572,0.05409137094386949,0.5383126440612069
dave2-p10-track1-mcd_30_S2.csv,DAVE2-Track1-DayNightSnow,3,0.5514945256234128,0.08854278647920602,0.462792710990043,0.5137008262424467,0.004869729694971303,0.001952998691512516,0.07970355840390803,0.5473185688618076
dave2-p10-track1-mcd_30_S2.csv,DAVE2-Track1-Fog,1,0.5836183261183261,0.028525577162377757,0.4224635308668923,0.5065826330532213,0.00723849451184804,0.0016757217470243881,0.024041909051016958,0.5796458808980214
dave2-p10-track1-mcd_30_S2.csv,DAVE2-Track1-Fog,2,0.5811343612334803,0.05859330778835314,0.4229144513646261,0.5043103448275862,0.005100493550995411,0.0016757217470243881,0.04856956823806573,0.5758038432267883
dave2-p10-track1-mcd_30_S2.csv,DAVE2-Track1-Fog,3,0.5986655040690916,0.08899012364215463,0.40241896724296816,0.5010898066207802,0.004524034517123349,0.0016757217470243881,0.07464925379663419,0.5911462297057332
dave2-p10-track1-mcd_30_S2.csv,DAVE2-Track1-Rain,1,0.5381816705242214,0.010297167175993592,0.4621717626994762,0.4997333333333334,0.011265316350595972,0.0018532211828474348,0.009151126311889086,0.5318755359549187
dave2-p10-track1-mcd_30_S2.csv,DAVE2-Track1-Rain,2,0.5220609890784145,0.0182907046834827,0.4777919414176273,0.4995238095238095,0.006793652083188864,0.0018532211828474348,0.016995152858017296,0.5155069623096084
