Model,Condition,Seconds,AUC-ROC,AUC-PRC,FPR,TPR,ROC Thresholds,PRC Thresholds,Precision,Recall
dave2-p10-track1-mcd_35_S128.csv,xai-track1-rain-70,2,0.9156436276932919,0.4399662260528749,0.11864441278241399,0.625852694018784,0.012891801480231259,0.004333294972286441,0.17419289776030933,0.82660392924293
dave2-p10-track1-mcd_5_S2.csv,xai-track1-rain-70,3,0.6952680429869307,0.21248063919031746,0.32611928421513336,0.5324795591091837,0.0051272111821482,0.0005492386022513819,0.10700703940244735,0.6826989486608857
dave2-p10-track1-mcd_5_S5.csv,xai-track1-rain-70,3,0.8232082078952304,0.23638436883880048,0.20438410760991405,0.535474509996803,0.006531681515124437,0.0009070679383138705,0.1265519828199542,0.8003388596087633
dave2-p10-track1-mcd_5_S10.csv,xai-track1-rain-70,3,0.8887025307974737,0.3487401876061646,0.13755077865257065,0.5641129748521836,0.007087869437800619,0.001043549140362169,0.15013590959478598,0.8609051290647
dave2-p10-track1-mcd_5_S64.csv,xai-track1-rain-70,3,0.920723863463789,0.5288650679277827,0.12916684375309903,0.6378755709965902,0.008160075525445405,0.001400864741990387,0.19995854336463914,0.8633782207250249
dave2-p10-track1-mcd_5_S128.csv,xai-track1-rain-70,3,0.9231581815420623,0.5481823923827163,0.11714484129685862,0.639941871251005,0.007833748743561372,0.0012125940099661733,0.17636853982520603,0.8909861549389259
dave2-p10-track1-mcd_10_S2.csv,xai-track1-rain-70,3,0.7303735896588381,0.20148367564558306,0.2864485935795543,0.5240401627742391,0.007076354148810753,0.0009337845725177273,0.10900133440960603,0.7147747990941833
dave2-p10-track1-mcd_10_S5.csv,xai-track1-rain-70,3,0.8625079282836494,0.39741688002862446,0.1754967274427303,0.5937632696390658,0.008325160261161575,0.0014918479874913137,0.14501283515565694,0.84002465584549
dave2-p10-track1-mcd_10_S10.csv,xai-track1-rain-70,3,0.8675217301971574,0.40569849508835004,0.1727596515833764,0.5985864342384624,0.008514953941238147,0.001985406602872951,0.16766213336981248,0.8059354182337694
dave2-p10-track1-mcd_10_S64.csv,xai-track1-rain-70,3,0.8910564493795838,0.48676108649305594,0.15461471425264509,0.6354276173396823,0.008802958740365355,0.002652862234778706,0.2076422025577384,0.789575050556465
dave2-p10-track1-mcd_10_S128.csv,xai-track1-rain-70,3,0.8951009907004583,0.5208462106766586,0.15810659186535767,0.6523248407643311,0.009019060604550759,0.002599325214478,0.2081565153634762,0.8034652596294934
dave2-p10-track1-mcd_15_S2.csv,xai-track1-rain-70,3,0.7651061720013221,0.28662032173955465,0.26374715867872517,0.5480635478439124,0.008190811434609813,0.0012261777092719532,0.12402159943593946,0.7511902998497576
dave2-p10-track1-mcd_15_S5.csv,xai-track1-rain-70,3,0.8462582967813401,0.33546105221710015,0.18225346607500056,0.5555758588284432,0.010025402329236453,0.0021717438157534364,0.14333204550478476,0.8111418475986795
dave2-p10-track1-mcd_15_S10.csv,xai-track1-rain-70,3,0.868227459107923,0.4161568902465813,0.17294206494767503,0.6078447384179869,0.009729743634303832,0.0027869581712528036,0.16448312548802255,0.8136002923671295
dave2-p10-track1-mcd_15_S64.csv,xai-track1-rain-70,3,0.899621229040298,0.4957780814214441,0.1444109396914446,0.6307324840764331,0.010921244444034528,0.0040035777122099,0.22366195374489886,0.7837298669170691
dave2-p10-track1-mcd_15_S128.csv,xai-track1-rain-70,3,0.8985001027326894,0.49241050615203846,0.14690776731449942,0.6392174704276615,0.010459511528010591,0.0037250727773097962,0.21058414166782694,0.8018937059105542
dave2-p10-track1-mcd_20_S2.csv,xai-track1-rain-70,3,0.7375291448173593,0.22351011746763938,0.2866587393540257,0.5352395458321795,0.010021590034729948,0.0019456147703204828,0.11192347362683329,0.7176503312927699
dave2-p10-track1-mcd_20_S5.csv,xai-track1-rain-70,3,0.8495792426367461,0.3287655508532793,0.18005465393263428,0.5678141745020726,0.012913233552517845,0.003937428779351588,0.15150503974589072,0.7906880922950142
dave2-p10-track1-mcd_20_S10.csv,xai-track1-rain-70,3,0.8829629000991592,0.40363753599864943,0.14658164356859293,0.5843949044585987,0.014895544401181307,0.005152569657878826,0.18272759615199907,0.801734001480693
dave2-p10-track1-mcd_20_S64.csv,xai-track1-rain-70,3,0.8919363771987029,0.43978590164468073,0.14797920660859273,0.6196166656927482,0.014131074271446794,0.0070723933826569,0.22103182047685072,0.7511625431860233
dave2-p10-track1-mcd_20_S128.csv,xai-track1-rain-70,3,0.894424294941085,0.4407303208569251,0.13980589589563103,0.6095120778752554,0.014387954307340068,0.00644672947302057,0.2111951752106333,0.7774578976416713
dave2-p10-track1-mcd_25_S2.csv,xai-track1-rain-70,3,0.710599780241377,0.19412073181665407,0.31743638549388903,0.5325523202911737,0.009423636288120029,0.0018669180885987104,0.10631635628441263,0.697332855839494
dave2-p10-track1-mcd_25_S5.csv,xai-track1-rain-70,3,0.8287580064498261,0.3465440645289601,0.20504852282495586,0.5767670022601192,0.012457762321529555,0.0035239423539527043,0.14163469874214984,0.7917099245208901
dave2-p10-track1-mcd_25_S10.csv,xai-track1-rain-70,3,0.8518750949160718,0.3840163584325433,0.18016168941493063,0.5745171145978977,0.013219362453638474,0.0037539342051186556,0.14843170395993677,0.8162505572373164
dave2-p10-track1-mcd_25_S64.csv,xai-track1-rain-70,3,0.8681738594438142,0.420077853048264,0.1785447138182061,0.6198058841370944,0.012500196344002948,0.005195587796466133,0.1831102587184869,0.7738726874422256
dave2-p10-track1-mcd_25_S128.csv,xai-track1-rain-70,3,0.8718588363512922,0.4268304023532697,0.1684249039575584,0.6088341179728608,0.012298174250273682,0.004862008406942724,0.17748735817699968,0.7938503716483698
dave2-p10-track1-mcd_30_S2.csv,xai-track1-rain-70,3,0.6811333648975799,0.17336449772656595,0.34277408678181276,0.5258193198598285,0.010174964398130568,0.0017277781847450636,0.10095747878090637,0.6707502853723845
dave2-p10-track1-mcd_30_S5.csv,xai-track1-rain-70,3,0.8178236749716369,0.2779167642640942,0.20580216030646212,0.5446572868143361,0.010970389588512479,0.002730875192909638,0.133721217792494,0.7804230084442803
dave2-p10-track1-mcd_30_S10.csv,xai-track1-rain-70,3,0.8501487390679019,0.35201070797705064,0.1803691088403571,0.5707966838540086,0.0108573711223139,0.0034421130532180265,0.1575809072542441,0.785978108124115
