,Model,Condition,Seconds,AUC-ROC,AUC-PRC,FPR,TPR,ROC Thresholds,PRC Thresholds,Precision,Recall
0,dave2-track1-DE_10.csv,DAVE2-Track1-DayNight,1,0.7501238725660977,0.017541657308983074,0.3082347672556409,0.5746506986027944,0.01149244396581348,0.00452776362777734,0.014607767711399528,0.6573546389588579
1,dave2-track1-DE_10.csv,DAVE2-Track1-DayNight,2,0.7703865045023974,0.03179781064087135,0.26813033050407564,0.5547368421052631,0.009214627790456769,0.00452776362777734,0.02829079195324927,0.6820804471032745
2,dave2-track1-DE_10.csv,DAVE2-Track1-DayNight,3,0.7695429147201612,0.0802561773441905,0.2647630229376394,0.5494144530134247,0.008655941459110273,0.00452776362777734,0.04980324071028473,0.6784897145256087
3,dave2-track1-DE_10.csv,DAVE2-Track1-DayNightFog,1,0.8075604225430009,0.09988251575985824,0.5255588899691551,0.8420786933927246,0.003980928000024504,0.0052160928067203184,0.06782341168382054,0.6619723865877712
4,dave2-track1-DE_10.csv,DAVE2-Track1-DayNightFog,2,0.798566729056775,0.16672810914557334,0.5067197754541161,0.8109192932187202,0.004104168646500071,0.0038121462701875422,0.1048511942088909,0.7797775813816469
5,dave2-track1-DE_10.csv,DAVE2-Track1-DayNightFog,3,0.7490557398676833,0.18223632966146855,0.4969478056753088,0.7521929824561404,0.0041316817333404855,0.003709221693678002,0.1347645457336258,0.7314863776356314
6,dave2-track1-DE_10.csv,DAVE2-Track1-DayNightRain,1,0.6226208378088077,0.02754648377810147,0.3763066202090592,0.4959349593495935,0.013514445246361969,0.004608293095733636,0.0216564785119722,0.5211146838156484
7,dave2-track1-DE_10.csv,DAVE2-Track1-DayNightRain,2,0.6413674283641639,0.03970203762304199,0.35816992273755804,0.4978382147838213,0.009291174229128271,0.004608293095733636,0.038161829666363375,0.5422249017506251
8,dave2-track1-DE_10.csv,DAVE2-Track1-DayNightRain,3,0.7096753644493445,0.07216757146545133,0.2969704656994272,0.5068829891838742,0.008556875402219786,0.004608293095733636,0.06706121495845142,0.6229576039061571
9,dave2-track1-DE_10.csv,DAVE2-Track1-DayNightSnow,1,0.718990812923842,0.06438711219238699,0.2906033431743332,0.5113007744586692,0.009780689104822536,0.0037771905407144282,0.052665255802612436,0.6765626994178227
10,dave2-track1-DE_10.csv,DAVE2-Track1-DayNightSnow,2,0.7470827189406424,0.12803978139899586,0.2718322964224604,0.5197643097643099,0.00872053690744162,0.003514220840067355,0.08898150875627459,0.729928543184771
11,dave2-track1-DE_10.csv,DAVE2-Track1-DayNightSnow,3,0.7595624661754299,0.18060742883738928,0.26176883709287124,0.5277506635842111,0.007787236820276792,0.003514220840067355,0.1260915827743293,0.7371711673993442
12,dave2-track1-DE_10.csv,DAVE2-Track1-Fog,1,0.8590752765752765,0.13780976355533972,0.4882324515735189,0.8478280484660996,0.004800392133956278,0.004464502189075049,0.05440001856901715,0.8220382882882884
13,dave2-track1-DE_10.csv,DAVE2-Track1-Fog,2,0.8078548702887909,0.2279186693665768,0.4763761721932887,0.7867625093353248,0.004828313267812386,0.004464502189075049,0.095804307864974,0.7549643393393393
14,dave2-track1-DE_10.csv,DAVE2-Track1-Fog,3,0.7683241986381,0.2361353100922333,0.4702163343331022,0.7415637860082305,0.004824167519603899,0.003999195033067696,0.11530789371537645,0.7521833604947558
15,dave2-track1-DE_10.csv,DAVE2-Track1-Rain,1,0.5696938319730377,0.007891375351662235,0.5823082719760218,0.6770671834625324,0.00538204242925989,0.004418789809017214,0.007716104056547042,0.4573847504000826
16,dave2-track1-DE_10.csv,DAVE2-Track1-Rain,2,0.464208287315417,0.01249674990826,0.5933169753853125,0.5711372231226364,0.004976537637936134,0.0038722256257294812,0.01186357812177115,0.4557685881370092
17,dave2-track1-DE_10.csv,DAVE2-Track1-Rain,3,0.44384349116083577,0.01769017749228128,0.5970348508566529,0.5603141115799344,0.0047103254293455405,0.0038722256257294812,0.015810451711939563,0.43573517126148703
18,dave2-track1-DE_10.csv,DAVE2-Track1-Snow,1,0.6524296105301692,0.024437945422874426,0.4969375138681744,0.6510544662309368,0.004870694919110403,0.004464172402605061,0.020432178420322286,0.6516896523913219
19,dave2-track1-DE_10.csv,DAVE2-Track1-Snow,2,0.6125788064947839,0.09815301713229817,0.496148818539204,0.6098194228443062,0.004869829958791245,0.0044377834917923775,0.04340873987758052,0.6121995464852608
20,dave2-track1-DE_10.csv,DAVE2-Track1-Snow,3,0.5595835342506171,0.09214356870172467,0.4985810948310949,0.5580956496686833,0.004854732564574358,0.0044377834917923775,0.055111736930982785,0.5577727720301604
21,dave2-track1-DE_10.csv,udacity_add_weights_regularisation_mutated0_MP_l1_3_1,1,0.8687887537993921,0.07638281931952047,0.4794788346059752,0.8618825654923217,0.003391739450964769,0.005742997639495799,0.06500329983704885,0.70622797806557
22,dave2-track1-DE_10.csv,udacity_add_weights_regularisation_mutated0_MP_l1_3_1,2,0.8725609123898392,0.14750198872924836,0.4492719933984208,0.8373309728544933,0.003579030427784521,0.005742997639495799,0.12811791102056527,0.6970738536926847
23,dave2-track1-DE_10.csv,udacity_add_weights_regularisation_mutated0_MP_l1_3_1,3,0.8485188419772741,0.18788537898832092,0.4348537028239866,0.7994008042716354,0.0036006032775623797,0.003684331132814371,0.1365464233815712,0.7934516222084036
24,dave2-track1-DE_10.csv,udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,1,0.7655209201731239,0.16390571083136485,0.3734991077661445,0.6533128030915045,0.008868372436699867,0.0078065289461026685,0.14042322425025391,0.7232865096292074
