heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3,threshold,FailureIDs,detected_failure_ids,undetected_failure_ids,undetectable_failure_ids
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Snow,3,3,0,0,2,100,0,100,100,100,0.04091918053403326,"[2664, 6197, 6448]","[2664, 6197, 6448]",[],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Snow,3,3,0,0,3,100,0,100,100,100,0.04091918053403326,"[2664, 6197, 6448]","[2664, 6197, 6448]",[],[]
smoothgrad,avg-grad,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,1,100,0,100,100,100,0.04091918053403326,"[2360, 2600, 3420, 4644, 5453]","[2360, 2600, 3420, 4644, 5453]",[],[]
smoothgrad,avg-grad,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,2,100,0,100,100,100,0.04091918053403326,"[2360, 2600, 3420, 4644, 5453]","[2360, 2600, 3420, 4644, 5453]",[],[]
smoothgrad,avg-grad,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,3,100,0,100,100,100,0.04091918053403326,"[2360, 2600, 3420, 4644, 5453]","[2360, 2600, 3420, 4644, 5453]",[],[]
smoothgrad,avg-grad,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,1,100,0,100,100,100,0.04091918053403326,"[351, 694, 956, 1185, 1717, 1931, 2216, 2250, 2270, 2646, 3007, 3234, 3696, 4047, 4050, 4275, 4300, 4321, 4900, 5203, 5640, 6104]","[351, 694, 956, 1185, 1717, 1931, 2216, 2270, 2646, 3007, 3234, 3696, 4047, 4275, 4321, 4900, 5203, 5640, 6104]",[],"[2250, 4050, 4300]"
smoothgrad,avg-grad,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,18,1,3,2,99,0,100,95,95,0.04091918053403326,"[351, 694, 956, 1185, 1717, 1931, 2216, 2250, 2270, 2646, 3007, 3234, 3696, 4047, 4050, 4275, 4300, 4321, 4900, 5203, 5640, 6104]","[694, 956, 1185, 1717, 1931, 2216, 2250, 2646, 3007, 3234, 3696, 4047, 4275, 4321, 4900, 5203, 5640, 6104]",[351],"[2270, 4050, 4300]"
smoothgrad,avg-grad,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,14,5,3,3,94,0,100,74,76,0.04091918053403326,"[351, 694, 956, 1185, 1717, 1931, 2216, 2250, 2270, 2646, 3007, 3234, 3696, 4047, 4050, 4275, 4300, 4321, 4900, 5203, 5640, 6104]","[1931, 2216, 2250, 2646, 3007, 3234, 3696, 4047, 4275, 4321, 4900, 5203, 5640, 6104]","[351, 694, 956, 1185, 1717]","[2270, 4050, 4300]"
smoothgrad,avg-grad,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,1,100,0,100,100,100,0.04091918053403326,"[370, 695, 697, 893, 1180, 1483, 1763, 1995, 2297, 2331, 2354, 2935, 3172, 3470, 3905, 5036, 5042, 5255, 5942]","[370, 695, 893, 1180, 1483, 1763, 1995, 2297, 2354, 2935, 3172, 3470, 3905, 5036, 5255, 5942]",[],"[697, 2331, 5042]"
smoothgrad,avg-grad,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,13,3,3,2,96,0,100,81,83,0.04091918053403326,"[370, 695, 697, 893, 1180, 1483, 1763, 1995, 2297, 2331, 2354, 2935, 3172, 3470, 3905, 5036, 5042, 5255, 5942]","[1180, 1483, 1763, 1995, 2297, 2331, 2935, 3172, 3470, 3905, 5036, 5255, 5942]","[370, 695, 893]","[697, 2354, 5042]"
smoothgrad,avg-grad,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,3,100,0,100,100,100,0.04091918053403326,"[370, 695, 697, 893, 1180, 1483, 1763, 1995, 2297, 2331, 2354, 2935, 3172, 3470, 3905, 5036, 5042, 5255, 5942]","[370, 695, 893, 1180, 1483, 1763, 1995, 2297, 2331, 2935, 3172, 3470, 3905, 5036, 5255, 5942]",[],"[697, 2354, 5042]"
smoothgrad,avg-grad,max,mutants\udacity_change_activation_function_mutated0_MP_exponential_4_0,12,11,1,3,1,99,0,100,92,92,0.04091918053403326,"[407, 771, 780, 1056, 1291, 1655, 1685, 2094, 2430, 3312, 4088, 4295, 4757, 5243, 5257]","[771, 1056, 1291, 1655, 2094, 2430, 3312, 4088, 4295, 4757, 5243]",[407],"[780, 1685, 5257]"
smoothgrad,avg-grad,max,mutants\udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,2,100,0,100,100,100,0.04091918053403326,"[407, 771, 780, 1056, 1291, 1655, 1685, 2094, 2430, 3312, 4088, 4295, 4757, 5243, 5257]","[407, 771, 1056, 1291, 1655, 2094, 2430, 3312, 4088, 4295, 4757, 5243]",[],"[780, 1685, 5257]"
smoothgrad,avg-grad,max,mutants\udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,3,100,0,100,100,100,0.04091918053403326,"[407, 771, 780, 1056, 1291, 1655, 1685, 2094, 2430, 3312, 4088, 4295, 4757, 5243, 5257]","[407, 771, 1056, 1291, 1655, 2094, 2430, 3312, 4088, 4295, 4757, 5243]",[],"[780, 1685, 5257]"
smoothgrad,avg-grad,max,mutants\udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,6,1,1,1,99,0,100,86,87,0.04091918053403326,"[445, 919, 1619, 2607, 3164, 4339, 4382, 4385]","[919, 1619, 2607, 3164, 4339, 4382]",[445],[4385]
