model,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3,threshold,FailureIDs,detected_failure_ids,undetected_failure_ids,undetectable_failure_ids
dave2-track1-DE_10,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,18,1,3,3,98,2,90,95,94,0.0014974864379017484,"[351, 694, 956, 1185, 1717, 1931, 2216, 2250, 2270, 2646, 3007, 3234, 3696, 4047, 4050, 4275, 4300, 4321, 4900, 5203, 5640, 6104]","[694, 956, 1185, 1717, 1931, 2216, 2270, 2646, 3007, 3234, 3696, 4047, 4275, 4321, 4900, 5203, 5640, 6104]",[351],"[2250, 4050, 4300]"
dave2-track1-DE_10,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,1,98,2,89,100,99,0.0014974864379017484,"[370, 695, 697, 893, 1180, 1483, 1763, 1995, 2297, 2331, 2354, 2935, 3172, 3470, 3905, 5036, 5042, 5255, 5942]","[370, 695, 893, 1180, 1483, 1763, 1995, 2297, 2354, 2935, 3172, 3470, 3905, 5036, 5255, 5942]",[],"[697, 2331, 5042]"
dave2-track1-DE_10,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,2,98,2,89,100,99,0.0014974864379017484,"[370, 695, 697, 893, 1180, 1483, 1763, 1995, 2297, 2331, 2354, 2935, 3172, 3470, 3905, 5036, 5042, 5255, 5942]","[370, 695, 893, 1180, 1483, 1763, 1995, 2297, 2354, 2935, 3172, 3470, 3905, 5036, 5255, 5942]",[],"[697, 2331, 5042]"
dave2-track1-DE_10,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,3,98,2,89,100,99,0.0014974864379017484,"[370, 695, 697, 893, 1180, 1483, 1763, 1995, 2297, 2331, 2354, 2935, 3172, 3470, 3905, 5036, 5042, 5255, 5942]","[370, 695, 893, 1180, 1483, 1763, 1995, 2297, 2354, 2935, 3172, 3470, 3905, 5036, 5255, 5942]",[],"[697, 2331, 5042]"
dave2-track1-DE_10,max,mutants\udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,1,98,2,86,100,98,0.0014974864379017484,"[407, 771, 780, 1056, 1291, 1655, 1685, 2094, 2430, 3312, 4088, 4295, 4757, 5243, 5257]","[407, 771, 1056, 1291, 1655, 2094, 2430, 3312, 4088, 4295, 4757, 5243]",[],"[780, 1685, 5257]"
dave2-track1-DE_10,max,mutants\udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,2,98,2,86,100,98,0.0014974864379017484,"[407, 771, 780, 1056, 1291, 1655, 1685, 2094, 2430, 3312, 4088, 4295, 4757, 5243, 5257]","[407, 771, 1056, 1291, 1655, 2094, 2430, 3312, 4088, 4295, 4757, 5243]",[],"[780, 1685, 5257]"
dave2-track1-DE_10,max,mutants\udacity_change_activation_function_mutated0_MP_exponential_4_0,12,4,8,3,3,92,2,67,33,35,0.0014974864379017484,"[407, 771, 780, 1056, 1291, 1655, 1685, 2094, 2430, 3312, 4088, 4295, 4757, 5243, 5257]","[4088, 4295, 4757, 5243]","[407, 771, 1056, 1291, 1655, 2094, 2430, 3312]","[780, 1685, 5257]"
dave2-track1-DE_10,max,mutants\udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,1,98,2,78,100,97,0.0014974864379017484,"[445, 919, 1619, 2607, 3164, 4339, 4382, 4385]","[445, 919, 1619, 2607, 3164, 4339, 4382]",[],[4385]
dave2-track1-DE_10,max,mutants\udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,2,98,2,78,100,97,0.0014974864379017484,"[445, 919, 1619, 2607, 3164, 4339, 4382, 4385]","[445, 919, 1619, 2607, 3164, 4339, 4382]",[],[4385]
dave2-track1-DE_10,max,mutants\udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,6,1,1,3,97,2,75,86,85,0.0014974864379017484,"[445, 919, 1619, 2607, 3164, 4339, 4382, 4385]","[919, 1619, 2607, 3164, 4339, 4382]",[445],[4385]
dave2-track1-DE_10,max,mutants\udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,1,98,2,89,100,99,0.0014974864379017484,"[314, 593, 829, 1061, 1283, 1493, 1503, 2589, 2824, 2826, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]","[314, 593, 829, 1061, 1283, 1493, 2589, 2824, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]",[],"[1503, 2826]"
dave2-track1-DE_10,max,mutants\udacity_change_activation_function_mutated0_MP_relu_4_2,16,15,1,2,2,98,2,88,94,93,0.0014974864379017484,"[314, 593, 829, 1061, 1283, 1493, 1503, 2589, 2824, 2826, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]","[593, 829, 1061, 1283, 1493, 2589, 2824, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]",[314],"[1503, 2826]"
dave2-track1-DE_10,max,mutants\udacity_change_activation_function_mutated0_MP_relu_4_2,14,5,9,4,3,91,2,71,36,38,0.0014974864379017484,"[314, 593, 829, 1061, 1283, 1493, 1503, 2589, 2824, 2826, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]","[3900, 4112, 4471, 4868, 5017]","[314, 593, 829, 1061, 1283, 1493, 2589, 3158, 3386]","[1503, 2824, 2826, 4251]"
dave2-track1-DE_10,max,mutants\udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,1,98,2,78,100,97,0.0014974864379017484,"[733, 1013, 1449, 1764, 3841, 4350, 4545]","[733, 1013, 1449, 1764, 3841, 4350, 4545]",[],[]
dave2-track1-DE_10,max,mutants\udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,2,98,2,78,100,97,0.0014974864379017484,"[733, 1013, 1449, 1764, 3841, 4350, 4545]","[733, 1013, 1449, 1764, 3841, 4350, 4545]",[],[]
